Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_FAT	GO:0000279~M phase	76	11.968503937007874	7.3084320171584995E-40	147841, 64151, 332, 10403, 51530, 647000, 983, 10381, 3925, 2956, 727803, 132625, 259266, 56992, 7280, 7283, 9735, 9212, 11339, 11004, 29901, 9585, 4751, 55055, 9787, 9055, 55320, 9156, 55559, 10726, 10051, 8438, 10460, 9319, 11130, 81610, 51203, 113130, 79866, 6790, 55165, 157313, 84057, 5347, 83461, 2177, 7272, 54069, 93323, 55143, 221150, 55872, 890, 11065, 699, 3838, 3833, 3832, 246184, 3835, 27436, 1063, 26271, 79075, 1062, 54443, 9232, 994, 899, 9133, 993, 8914, 991, 9184, 203068, 891, 1164	476	325	13123	6.446981254040077	1.5121145843500937E-36	1.5121145843500937E-36	1.2615302686054874E-36
GOTERM_BP_FAT	GO:0007049~cell cycle	112	17.637795275590552	1.314527413365967E-38	29127, 332, 10403, 8318, 3925, 2956, 727803, 220042, 56992, 81620, 7280, 7283, 5036, 9735, 11339, 11004, 29901, 56647, 55055, 8208, 9055, 9156, 55559, 10726, 8438, 55215, 11130, 81610, 51203, 113130, 55165, 5347, 83461, 2177, 5699, 54069, 811, 84722, 4172, 55872, 890, 699, 4176, 3838, 3833, 3832, 3835, 2305, 1063, 26271, 1062, 9232, 994, 899, 1058, 993, 991, 9184, 203068, 891, 8558, 147841, 64151, 51530, 983, 647000, 10381, 10197, 3054, 132625, 259266, 5708, 6839, 5707, 5691, 5705, 5702, 5700, 7311, 9212, 5496, 9585, 4751, 9787, 55320, 10051, 10460, 9319, 5711, 79866, 6790, 1033, 2873, 729686, 157313, 84057, 4678, 55355, 7272, 93323, 55143, 221150, 10036, 11065, 246184, 27436, 79075, 54443, 1870, 5997, 9133, 8914, 1164	476	766	13123	4.031024420211949	2.719757218254186E-35	1.359878609127093E-35	2.2690450112684967E-35
GOTERM_BP_FAT	GO:0000278~mitotic cell cycle	78	12.283464566929133	6.800811284265468E-38	147841, 64151, 332, 10403, 51530, 983, 647000, 10381, 10197, 3925, 259266, 56992, 7280, 5708, 5707, 5691, 5705, 5702, 5700, 9735, 7311, 9212, 11339, 11004, 29901, 9585, 4751, 55055, 9787, 9055, 55320, 55559, 10726, 10051, 11130, 81610, 51203, 113130, 5711, 79866, 6790, 1033, 55165, 157313, 5347, 83461, 7272, 5699, 54069, 93323, 55143, 221150, 55872, 890, 11065, 699, 3838, 3833, 3832, 246184, 3835, 27436, 1063, 26271, 79075, 1062, 54443, 9232, 994, 899, 9133, 1058, 993, 8914, 991, 9184, 203068, 891, 8558	476	366	13123	5.87543050006888	1.4070878547145252E-34	4.6902928490484174E-35	1.1739083384824732E-34
GOTERM_BP_FAT	GO:0022402~cell cycle process	95	14.960629921259844	7.65783190946484E-38	147841, 64151, 29127, 332, 10403, 51530, 983, 647000, 10381, 3925, 10197, 2956, 727803, 220042, 132625, 259266, 56992, 7280, 5708, 7283, 5707, 5691, 5705, 5702, 5700, 5036, 9735, 7311, 9212, 11339, 11004, 29901, 5496, 9585, 4751, 55055, 9787, 9055, 55320, 9156, 10051, 55559, 10726, 10460, 8438, 9319, 11130, 81610, 51203, 113130, 5711, 79866, 6790, 1033, 55165, 729686, 157313, 84057, 5347, 83461, 2177, 7272, 5699, 54069, 811, 93323, 55143, 221150, 55872, 11065, 890, 699, 3838, 3833, 3832, 246184, 3835, 27436, 1063, 26271, 79075, 1062, 54443, 9232, 994, 899, 9133, 1058, 993, 8914, 991, 9184, 203068, 891, 1164, 8558	476	559	13123	4.685306143924476	1.5844054220682753E-34	3.9610135551706883E-35	1.3218412270924926E-34
GOTERM_BP_FAT	GO:0007067~mitosis	61	9.606299212598426	1.4013388473173925E-36	147841, 64151, 332, 10403, 51530, 647000, 983, 10381, 259266, 56992, 7280, 9735, 9212, 11339, 11004, 29901, 9585, 4751, 55055, 9787, 55320, 55559, 10726, 10051, 11130, 81610, 51203, 113130, 79866, 6790, 55165, 157313, 83461, 5347, 54069, 93323, 55143, 221150, 890, 11065, 55872, 699, 3833, 3832, 3835, 246184, 27436, 1063, 26271, 1062, 79075, 54443, 9232, 899, 994, 9133, 993, 8914, 991, 9184, 203068, 891	476	218	13123	7.714353172461644	2.899370075099685E-33	5.79874015019937E-34	2.4188928190248704E-33
GOTERM_BP_FAT	GO:0000280~nuclear division	61	9.606299212598426	1.4013388473173925E-36	147841, 64151, 332, 10403, 51530, 647000, 983, 10381, 259266, 56992, 7280, 9735, 9212, 11339, 11004, 29901, 9585, 4751, 55055, 9787, 55320, 55559, 10726, 10051, 11130, 81610, 51203, 113130, 79866, 6790, 55165, 157313, 83461, 5347, 54069, 93323, 55143, 221150, 890, 11065, 55872, 699, 3833, 3832, 3835, 246184, 27436, 1063, 26271, 1062, 79075, 54443, 9232, 899, 994, 9133, 993, 8914, 991, 9184, 203068, 891	476	218	13123	7.714353172461644	2.899370075099685E-33	5.79874015019937E-34	2.4188928190248704E-33
GOTERM_BP_FAT	GO:0000087~M phase of mitotic cell cycle	61	9.606299212598426	4.380343972412254E-36	147841, 64151, 332, 10403, 51530, 647000, 983, 10381, 259266, 56992, 7280, 9735, 9212, 11339, 11004, 29901, 9585, 4751, 55055, 9787, 55320, 55559, 10726, 10051, 11130, 81610, 51203, 113130, 79866, 6790, 55165, 157313, 83461, 5347, 54069, 93323, 55143, 221150, 890, 11065, 55872, 699, 3833, 3832, 3835, 246184, 27436, 1063, 26271, 1062, 79075, 54443, 9232, 899, 994, 9133, 993, 8914, 991, 9184, 203068, 891	476	222	13123	7.575355818002877	9.062931678920953E-33	1.510488613153492E-33	7.561042498757659E-33
GOTERM_BP_FAT	GO:0048285~organelle fission	61	9.606299212598426	1.7539876886515925E-35	147841, 64151, 332, 10403, 51530, 647000, 983, 10381, 259266, 56992, 7280, 9735, 9212, 11339, 11004, 29901, 9585, 4751, 55055, 9787, 55320, 55559, 10726, 10051, 11130, 81610, 51203, 113130, 79866, 6790, 55165, 157313, 83461, 5347, 54069, 93323, 55143, 221150, 890, 11065, 55872, 699, 3833, 3832, 3835, 246184, 27436, 1063, 26271, 1062, 79075, 54443, 9232, 899, 994, 9133, 993, 8914, 991, 9184, 203068, 891	476	227	13123	7.408497760337615	3.629000527820145E-32	5.1842864683144925E-33	3.027610511803949E-32
GOTERM_BP_FAT	GO:0022403~cell cycle phase	78	12.283464566929133	1.991982002719246E-34	147841, 64151, 332, 10403, 51530, 983, 647000, 10381, 3925, 2956, 727803, 132625, 259266, 56992, 7280, 7283, 9735, 9212, 11339, 11004, 29901, 9585, 4751, 55055, 9787, 9055, 55320, 9156, 55559, 10726, 10051, 8438, 10460, 9319, 11130, 81610, 51203, 113130, 79866, 6790, 1033, 55165, 157313, 84057, 5347, 83461, 2177, 7272, 54069, 93323, 55143, 221150, 55872, 890, 11065, 699, 3838, 3833, 3832, 246184, 3835, 27436, 1063, 26271, 79075, 1062, 54443, 9232, 994, 899, 9133, 993, 8914, 991, 9184, 203068, 891, 8558, 1164	476	408	13123	5.270606772120614	4.1214107636261205E-31	5.151763454532651E-32	3.4384196022455917E-31
SP_PIR_KEYWORDS	mitosis	51	8.031496062992126	4.490398215916201E-33	147841, 64151, 332, 10403, 51530, 983, 259266, 9735, 9212, 11004, 11339, 9585, 4751, 55055, 55320, 10726, 55559, 10051, 11130, 81610, 113130, 51203, 79866, 55165, 157313, 83461, 5347, 54069, 93323, 55143, 221150, 890, 11065, 699, 3833, 3832, 246184, 1063, 1062, 26271, 54443, 9232, 899, 994, 9133, 993, 8914, 9184, 991, 891, 10121	585	182	18500	8.861651169343476	1.903928843548469E-30	1.903928843548469E-30	6.316325112821053E-30
