Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
SP_PIR_KEYWORDS	acetylation	392	35.44303797468354	2.5527199185663975E-88	5232, 8883, 23658, 5230, 54107, 158, 51377, 29128, 2956, 79811, 84284, 149501, 2023, 8208, 10728, 119559, 1434, 51491, 318, 51499, 310, 821, 7336, 6749, 811, 328, 5245, 522, 10606, 203068, 808, 5917, 983, 8833, 8467, 27440, 55339, 6396, 8364, 55131, 701, 8502, 84823, 10657, 708, 642590, 3251, 10055, 5928, 10059, 8624, 400013, 56897, 9212, 84950, 7381, 645979, 586, 729403, 10051, 60491, 9319, 5108, 3265, 10973, 865, 8813, 10632, 84986, 7374, 84154, 10635, 5111, 8520, 729608, 8819, 84844, 55148, 10981, 10989, 10988, 5901, 10987, 5902, 2237, 128061, 8803, 8914, 10785, 142, 84833, 2091, 3148, 3146, 3336, 10694, 644934, 9141, 11157, 1622, 3151, 3150, 9656, 56994, 56993, 56992, 93487, 283489, 6294, 4190, 23451, 54927, 4830, 10165, 1611, 4839, 9156, 3420, 3313, 6950, 3312, 1786, 2271, 9774, 3320, 1503, 10274, 11137, 29087, 79763, 4173, 4172, 4175, 140707, 4174, 4176, 3015, 4171, 9232, 3329, 3021, 2280, 2079, 10285, 2287, 345041, 891, 55013, 2182, 11051, 6726, 642, 4000, 641, 647000, 11198, 9406, 80145, 8260, 2194, 1665, 10199, 10197, 6117, 3190, 6118, 54148, 6731, 3054, 9692, 3301, 2618, 1660, 1854, 3308, 1653, 6059, 3187, 54865, 3189, 3182, 3183, 3184, 9688, 1655, 3185, 54969, 9014, 79650, 3181, 6742, 23603, 6741, 80777, 9782, 4709, 760, 11073, 4706, 6240, 4700, 9126, 9128, 9529, 11266, 9521, 79675, 11065, 11164, 6231, 4712, 1736, 1874, 2739, 6229, 9667, 6228, 646993, 9131, 727761, 646753, 51574, 4493, 10342, 1478, 55847, 51081, 644745, 7167, 3925, 6611, 727803, 55759, 4116, 55752, 3856, 1982, 7073, 7175, 7172, 9984, 5757, 9879, 646347, 84790, 441377, 3945, 9991, 3837, 55872, 3839, 3838, 10592, 10212, 3832, 100131735, 10492, 1063, 55732, 3939, 9184, 10594, 644877, 9188, 79447, 10247, 51530, 10588, 10383, 4860, 86, 4841, 55795, 5411, 51660, 5706, 5707, 647302, 10236, 134147, 5705, 5702, 5701, 23165, 728026, 4747, 10436, 10576, 5501, 4085, 5718, 653226, 51659, 4735, 5711, 5713, 64965, 728554, 4678, 10262, 10465, 728937, 30827, 4670, 4673, 5725, 11315, 100131971, 4522, 644191, 10455, 52, 10250, 2547, 5437, 8533, 54517, 22974, 6416, 51637, 100130561, 10921, 6418, 57570, 10137, 26973, 131076, 10808, 10539, 51010, 4686, 51018, 22985, 10001, 7411, 10914, 728823, 26354, 4691, 5931, 51023, 51020, 7514, 51203, 5557, 84128, 7419, 729342, 25983, 10946, 84321, 664709, 10940, 97, 8562, 26275, 498, 292, 401466, 291, 57405, 7913, 6670, 397, 7533, 7919, 64422, 220134, 25923, 7027, 5685, 5684, 5683, 51322, 51729, 5984, 5887, 65117, 6647, 56683, 55299, 5983, 51053, 7314, 57122, 5687, 7307, 5689, 8697, 6636, 729686, 27258, 6643, 57016, 6431, 6627, 8402, 22826, 6624, 6430, 6625, 1017, 7155, 26099, 55572, 1019, 7153, 54443, 51747, 5393, 6428, 6631, 441282, 6427, 1164, 6426	1044	2635	19235	2.7409249202090917	1.3018871584688626E-85	1.3018871584688626E-85	3.6862569169871443E-85
GOTERM_BP_FAT	GO:0007049~cell cycle	191	17.269439421338156	7.743010623801634E-65	8883, 29127, 332, 8318, 9861, 64682, 6867, 51776, 3925, 29128, 727803, 2956, 55752, 207, 1982, 11339, 29901, 56647, 8208, 8438, 55215, 348235, 144455, 5347, 85444, 811, 55872, 10592, 3838, 3833, 3832, 10213, 3835, 2305, 1063, 100133012, 1062, 1058, 9184, 203068, 808, 10600, 147841, 64151, 51530, 983, 9493, 701, 10657, 5116, 3619, 580, 5603, 5706, 5928, 5707, 5705, 5702, 5701, 9212, 9585, 55329, 5501, 4751, 586, 55320, 4085, 10051, 10460, 5718, 9319, 8099, 11104, 5710, 4735, 5711, 5713, 84552, 79866, 6790, 157313, 84057, 4678, 55355, 7272, 55143, 8089, 10036, 246184, 7465, 27436, 5901, 5902, 8914, 3978, 10403, 22974, 54908, 3682, 220042, 9656, 56992, 81620, 4292, 7283, 9738, 9918, 9735, 79980, 11004, 55055, 23310, 9055, 5932, 9156, 81610, 11130, 79023, 113130, 51203, 729342, 55165, 10274, 83461, 5422, 51512, 2177, 5699, 54069, 84722, 4172, 4175, 890, 4176, 699, 1111, 26271, 4171, 9232, 57405, 994, 899, 2079, 83540, 993, 991, 151246, 891, 220134, 7027, 5685, 5684, 641, 5683, 647000, 10197, 6117, 3054, 132625, 5889, 259266, 3306, 6839, 25936, 51053, 7314, 6502, 5687, 5689, 54962, 5597, 9787, 8697, 2935, 667, 3070, 1033, 55835, 729686, 9126, 93323, 221150, 11065, 1017, 1019, 1874, 79075, 54443, 1870, 5997, 9133, 1163, 727761, 1164	859	776	13528	3.876252655329261	2.109196093923565E-61	2.109196093923565E-61	1.3792759544971344E-61
GOTERM_CC_FAT	GO:0031974~membrane-enclosed lumen	296	26.763110307414106	5.667574341530868E-64	51574, 1478, 51373, 332, 90390, 9862, 8318, 55646, 644745, 64682, 65057, 51367, 205, 55759, 23649, 5743, 4116, 56339, 207, 11339, 10721, 7175, 8208, 56922, 55215, 51593, 11340, 112495, 51491, 9984, 138151, 54888, 5612, 92140, 144455, 9879, 5347, 6749, 10733, 7184, 811, 3837, 328, 5245, 3838, 51388, 10492, 1063, 100133012, 55388, 9184, 10594, 7058, 808, 9188, 644877, 5917, 11222, 10951, 3622, 28977, 983, 8467, 23753, 55272, 9493, 8364, 100130003, 55131, 86, 84823, 708, 64983, 7398, 64981, 5411, 5928, 10236, 5705, 7979, 7443, 10969, 10436, 8458, 10576, 9585, 10572, 65003, 5501, 4751, 9314, 23028, 10431, 65008, 10432, 6195, 3608, 29102, 4735, 8487, 64965, 84154, 55355, 51258, 10465, 5111, 729608, 100132658, 8819, 84844, 10038, 55143, 30827, 4670, 8089, 80196, 246184, 7465, 5901, 6996, 10987, 5725, 4999, 7756, 467, 5001, 3978, 10455, 10250, 2547, 10785, 142, 30834, 2146, 5437, 22976, 2091, 3148, 5165, 3146, 131474, 10799, 22974, 3336, 5019, 23468, 10921, 100130561, 6418, 53371, 64216, 9656, 5441, 81620, 51010, 4686, 6294, 23451, 5033, 22985, 10001, 10914, 26354, 4691, 4839, 5931, 3420, 65083, 51023, 10528, 7514, 51203, 5557, 3313, 84128, 9360, 729342, 6678, 23421, 28998, 2271, 23198, 51808, 10946, 51805, 5422, 51406, 2177, 10112, 4942, 664709, 10940, 55003, 4173, 5427, 10412, 4172, 4175, 4174, 890, 4176, 1111, 26271, 498, 292, 4171, 3329, 51602, 994, 10285, 993, 51319, 51318, 991, 345041, 891, 84916, 5955, 7919, 11051, 29899, 7705, 100130932, 7027, 25926, 79042, 26121, 24137, 26519, 4000, 641, 9790, 11198, 51322, 51729, 10199, 5984, 55813, 51728, 5985, 5887, 6117, 7019, 6119, 3190, 6118, 54853, 54148, 3054, 29889, 6647, 55299, 5983, 51726, 51053, 7314, 1660, 7307, 3187, 3185, 1655, 9014, 29074, 3181, 6742, 6741, 9782, 7004, 6637, 8697, 11073, 6636, 9536, 4706, 56943, 664, 54433, 729686, 9126, 9129, 9128, 2521, 123169, 6628, 11065, 57001, 9933, 1017, 7155, 1019, 7153, 1736, 1874, 79075, 25957, 51747, 1870, 5393, 6631, 9131, 1163, 6427, 9519, 6426	773	1856	12782	2.637139224695544	2.8054492990577797E-61	2.8054492990577797E-61	8.150008679443394E-61
GOTERM_CC_FAT	GO:0070013~intracellular organelle lumen	288	26.03978300180832	2.3446008013449334E-63	51574, 1478, 51373, 332, 90390, 9862, 8318, 55646, 644745, 64682, 65057, 51367, 205, 55759, 23649, 5743, 4116, 56339, 207, 11339, 10721, 7175, 8208, 56922, 55215, 51593, 11340, 112495, 51491, 9984, 138151, 54888, 5612, 92140, 144455, 9879, 5347, 6749, 10733, 7184, 811, 3837, 328, 5245, 3838, 51388, 10492, 1063, 100133012, 55388, 9184, 10594, 808, 9188, 5917, 11222, 10951, 3622, 28977, 983, 8467, 23753, 55272, 9493, 8364, 100130003, 55131, 86, 84823, 708, 64983, 7398, 64981, 5411, 5928, 10236, 5705, 7979, 7443, 10969, 10436, 8458, 10576, 9585, 10572, 5501, 65003, 4751, 9314, 23028, 65008, 10432, 6195, 3608, 29102, 4735, 8487, 64965, 84154, 55355, 51258, 10465, 5111, 729608, 100132658, 8819, 84844, 10038, 55143, 30827, 4670, 8089, 80196, 246184, 7465, 5901, 6996, 10987, 5725, 4999, 7756, 467, 5001, 3978, 10455, 2547, 10250, 10785, 142, 30834, 2146, 5437, 22976, 2091, 3148, 5165, 3146, 10799, 22974, 3336, 5019, 23468, 10921, 100130561, 6418, 53371, 64216, 9656, 5441, 81620, 51010, 4686, 6294, 23451, 5033, 22985, 10001, 10914, 26354, 4691, 4839, 5931, 3420, 65083, 51023, 10528, 7514, 51203, 5557, 3313, 84128, 9360, 729342, 23421, 28998, 2271, 23198, 51808, 10946, 51805, 5422, 51406, 2177, 10112, 4942, 664709, 10940, 55003, 4173, 5427, 10412, 4172, 4175, 4174, 890, 4176, 1111, 26271, 498, 292, 4171, 3329, 51602, 994, 10285, 993, 51319, 51318, 991, 345041, 891, 84916, 5955, 7919, 11051, 29899, 7705, 100130932, 7027, 25926, 79042, 26121, 24137, 4000, 641, 9790, 11198, 51322, 51729, 10199, 5984, 55813, 51728, 5985, 5887, 6117, 7019, 6119, 3190, 6118, 54853, 54148, 3054, 29889, 6647, 55299, 5983, 51726, 51053, 7314, 1660, 7307, 3187, 3185, 1655, 9014, 29074, 3181, 6742, 6741, 9782, 7004, 6637, 8697, 11073, 6636, 4706, 56943, 664, 54433, 729686, 9126, 9129, 9128, 2521, 123169, 6628, 11065, 9933, 1017, 7155, 1019, 7153, 1736, 1874, 79075, 25957, 51747, 1870, 5393, 6631, 9131, 1163, 6427, 9519, 6426	773	1779	12782	2.6769228755489336	1.160577396665742E-60	5.80288698332871E-61	3.371551166213683E-60
GOTERM_CC_FAT	GO:0043233~organelle lumen	290	26.220614828209765	2.749874222778523E-62	51574, 1478, 51373, 332, 90390, 9862, 8318, 55646, 644745, 64682, 65057, 51367, 205, 55759, 23649, 5743, 4116, 56339, 207, 11339, 10721, 7175, 8208, 56922, 55215, 51593, 11340, 112495, 51491, 9984, 138151, 54888, 5612, 92140, 144455, 9879, 5347, 6749, 10733, 7184, 811, 3837, 328, 5245, 3838, 51388, 10492, 1063, 100133012, 55388, 9184, 10594, 7058, 808, 9188, 5917, 11222, 10951, 3622, 28977, 983, 8467, 23753, 55272, 9493, 8364, 100130003, 55131, 86, 84823, 708, 64983, 7398, 64981, 5411, 5928, 10236, 5705, 7979, 7443, 10969, 10436, 8458, 10576, 9585, 10572, 65003, 5501, 4751, 9314, 23028, 65008, 10432, 6195, 3608, 29102, 4735, 8487, 64965, 84154, 55355, 51258, 10465, 5111, 729608, 100132658, 8819, 84844, 10038, 55143, 30827, 4670, 8089, 80196, 246184, 7465, 5901, 6996, 10987, 5725, 4999, 7756, 467, 5001, 3978, 10455, 10250, 2547, 10785, 142, 30834, 2146, 5437, 22976, 2091, 3148, 5165, 3146, 10799, 22974, 3336, 5019, 23468, 10921, 100130561, 6418, 53371, 64216, 9656, 5441, 81620, 51010, 4686, 6294, 23451, 5033, 22985, 10001, 10914, 26354, 4691, 4839, 5931, 3420, 65083, 51023, 10528, 7514, 51203, 5557, 3313, 84128, 9360, 729342, 6678, 23421, 28998, 2271, 23198, 51808, 10946, 51805, 5422, 51406, 2177, 10112, 4942, 664709, 10940, 55003, 4173, 5427, 10412, 4172, 4175, 4174, 890, 4176, 1111, 26271, 498, 292, 4171, 3329, 51602, 994, 10285, 993, 51319, 51318, 991, 345041, 891, 84916, 5955, 7919, 11051, 29899, 7705, 100130932, 7027, 25926, 79042, 26121, 24137, 4000, 641, 9790, 11198, 51322, 51729, 10199, 5984, 55813, 51728, 5985, 5887, 6117, 7019, 6119, 3190, 6118, 54853, 54148, 3054, 29889, 6647, 55299, 5983, 51726, 51053, 7314, 1660, 7307, 3187, 3185, 1655, 9014, 29074, 3181, 6742, 6741, 9782, 7004, 6637, 8697, 11073, 6636, 4706, 56943, 664, 54433, 729686, 9126, 9129, 9128, 2521, 123169, 6628, 11065, 9933, 1017, 7155, 1019, 7153, 1736, 1874, 79075, 25957, 51747, 1870, 5393, 6631, 9131, 1163, 6427, 9519, 6426	773	1820	12782	2.6347895312966463	1.361187740275369E-59	4.537292467584563E-60	3.954336976013808E-59
SP_PIR_KEYWORDS	nucleus	461	41.68173598553345	5.662630036390781E-59	23658, 29127, 332, 54107, 51371, 8318, 6867, 29128, 2956, 79080, 79811, 51367, 23649, 57215, 207, 80829, 7342, 129831, 2023, 8208, 8438, 55215, 112495, 1434, 51491, 5347, 6749, 1847, 79622, 10733, 328, 59339, 51388, 100133012, 23623, 55388, 8848, 10600, 147841, 10951, 6591, 983, 8467, 378708, 55339, 9493, 55272, 8364, 55131, 701, 84823, 10657, 7398, 10055, 580, 5928, 7443, 10969, 91107, 8449, 8458, 56897, 9212, 84950, 9585, 9586, 55329, 9314, 729403, 55320, 10051, 2130, 865, 29102, 8487, 157313, 84057, 84986, 7374, 84154, 10635, 55355, 5111, 8520, 729608, 84844, 8819, 10038, 55143, 8089, 10036, 80196, 246184, 7465, 5901, 6996, 10987, 79876, 118472, 4999, 2237, 5001, 467, 8914, 10785, 142, 2146, 2091, 54807, 3148, 3146, 10799, 54908, 9928, 83879, 387103, 4927, 79682, 53371, 11157, 3151, 3150, 9656, 81620, 4292, 6294, 23451, 9918, 79980, 9735, 89958, 11004, 4830, 23310, 79019, 9055, 201254, 4839, 29980, 55038, 9156, 65083, 11130, 79023, 113130, 9768, 1786, 9360, 23421, 79977, 29080, 9774, 10274, 11137, 2177, 29087, 79763, 54069, 9631, 55003, 4173, 55010, 4172, 4175, 4174, 890, 699, 4176, 2178, 3015, 4171, 9232, 3021, 899, 10285, 83540, 2287, 891, 892, 11051, 648, 9410, 79042, 24137, 4000, 641, 11198, 9790, 9406, 80145, 8260, 1665, 10199, 55813, 10197, 6117, 6119, 3190, 6118, 54853, 3054, 132625, 259266, 29889, 6839, 135112, 1660, 1854, 3187, 54962, 3189, 3182, 3183, 3184, 9688, 3185, 1655, 9014, 9787, 3181, 6741, 9782, 11073, 56943, 80119, 3070, 9126, 11177, 9129, 55839, 9128, 2521, 123169, 3670, 11266, 9521, 79677, 9933, 1736, 1874, 79075, 1870, 9667, 646993, 11168, 80010, 79921, 9131, 9519, 51574, 1479, 1478, 3084, 90390, 9862, 23279, 55646, 56731, 51776, 65057, 55759, 55854, 4116, 56339, 7884, 11339, 7175, 56647, 55723, 51593, 11340, 9984, 5757, 54888, 92140, 144455, 9879, 4784, 1466, 3837, 3839, 10592, 3838, 10212, 3833, 2305, 100131735, 10492, 3835, 1063, 1058, 9184, 10594, 644877, 9188, 10247, 64151, 3622, 93621, 51530, 23175, 10589, 100130003, 86, 4154, 3619, 4841, 5411, 5706, 647302, 10236, 55893, 5705, 5702, 5701, 23165, 728026, 10436, 80324, 10572, 5501, 4751, 81892, 23028, 10432, 4085, 3608, 51659, 7965, 23155, 94104, 728554, 4678, 10262, 10465, 100132658, 30827, 4670, 4673, 5725, 10357, 11315, 7756, 3978, 4664, 10250, 2547, 30834, 55635, 5437, 22976, 51002, 8533, 10403, 22974, 23468, 51637, 10921, 100130561, 6418, 10137, 220042, 85012, 5441, 51010, 10535, 4686, 22985, 26255, 10001, 64328, 7411, 10914, 5939, 10147, 26354, 4691, 4692, 5932, 5931, 7517, 10528, 7514, 51203, 84128, 729342, 25983, 23198, 51808, 10946, 5422, 51406, 26147, 23190, 84321, 5699, 10940, 664709, 51514, 5427, 10412, 1111, 57819, 26271, 27300, 57405, 51602, 7913, 6670, 64207, 151246, 84916, 7919, 84108, 7022, 7705, 100130932, 7027, 25926, 26121, 5685, 5684, 5683, 51322, 51729, 5984, 65110, 5985, 51728, 5887, 5889, 64785, 25936, 55299, 5983, 51720, 7314, 401541, 57122, 5687, 7307, 5689, 6446, 65109, 7004, 6637, 6636, 54433, 729686, 27258, 6431, 6627, 6628, 6434, 6629, 6622, 6430, 6625, 64105, 5093, 7155, 7153, 25957, 54443, 51747, 5393, 6428, 6631, 6427, 6426	1044	4283	19235	1.9830996732157697	2.8879413185592985E-56	1.4439706592796493E-56	8.177124716332934E-56
GOTERM_BP_FAT	GO:0000278~mitotic cell cycle	125	11.301989150090415	5.176782968556719E-58	332, 10403, 9861, 22974, 54908, 64682, 3925, 56992, 9918, 207, 79980, 9735, 11339, 11004, 29901, 55055, 23310, 9055, 5932, 11130, 81610, 79023, 51203, 113130, 348235, 55165, 10274, 5347, 83461, 5422, 51512, 5699, 54069, 85444, 55872, 890, 699, 3838, 10592, 1111, 3833, 10213, 3832, 3835, 1063, 26271, 1062, 9232, 57405, 994, 899, 1058, 83540, 993, 9184, 991, 203068, 891, 10600, 220134, 147841, 64151, 51530, 5685, 5684, 983, 641, 5683, 647000, 9493, 10197, 701, 10657, 259266, 3619, 5706, 5707, 5705, 25936, 5702, 7314, 5701, 6502, 5687, 9212, 5689, 54962, 9585, 4751, 9787, 586, 4085, 55320, 10051, 5718, 8099, 8697, 2935, 5710, 11104, 5711, 4735, 5713, 79866, 6790, 3070, 1033, 9126, 157313, 7272, 93323, 55143, 221150, 8089, 11065, 1017, 7465, 1019, 246184, 27436, 1874, 79075, 5901, 54443, 9133, 8914	859	370	13528	5.32045433093163	1.4101556806348502E-54	7.050778403174251E-55	9.221493572838343E-55
GOTERM_BP_FAT	GO:0022402~cell cycle process	153	13.83363471971067	5.036555698701301E-57	29127, 332, 10403, 9861, 22974, 54908, 64682, 51776, 3925, 2956, 727803, 220042, 56992, 7283, 4292, 9738, 9918, 207, 79980, 9735, 1982, 11004, 11339, 29901, 55055, 23310, 9055, 5932, 9156, 8438, 11130, 81610, 79023, 51203, 113130, 729342, 348235, 55165, 10274, 5347, 83461, 5422, 51512, 2177, 5699, 54069, 85444, 811, 890, 55872, 699, 3838, 10592, 1111, 3833, 10213, 3832, 3835, 1063, 1062, 26271, 9232, 57405, 899, 994, 1058, 993, 83540, 9184, 991, 203068, 891, 151246, 10600, 220134, 147841, 64151, 51530, 5685, 5684, 641, 983, 5683, 647000, 9493, 10197, 6117, 701, 10657, 5889, 132625, 259266, 5116, 3619, 3306, 580, 5706, 5707, 25936, 5705, 5702, 7314, 5701, 6502, 5687, 9212, 5689, 54962, 9585, 55329, 4751, 9787, 586, 4085, 55320, 10051, 10460, 9319, 5718, 8099, 8697, 2935, 5710, 11104, 5711, 4735, 5713, 79866, 667, 6790, 3070, 1033, 55835, 729686, 9126, 157313, 84057, 7272, 93323, 55143, 221150, 8089, 11065, 1017, 7465, 1019, 246184, 1874, 27436, 79075, 5901, 5902, 54443, 9133, 8914, 1164	859	565	13528	4.264650190074897	1.3719577723262342E-53	4.573192574420781E-54	8.971704297227871E-54
GOTERM_CC_FAT	GO:0031981~nuclear lumen	246	22.24231464737794	1.8740516606497412E-56	51574, 1478, 332, 90390, 9862, 8318, 55646, 64682, 65057, 51367, 55759, 23649, 4116, 56339, 207, 11339, 10721, 7175, 8208, 55215, 112495, 11340, 51593, 51491, 9984, 138151, 54888, 5612, 92140, 144455, 9879, 5347, 6749, 10733, 3837, 328, 5245, 3838, 10492, 51388, 1063, 100133012, 55388, 9184, 10594, 808, 9188, 5917, 10951, 3622, 983, 8467, 55272, 9493, 8364, 100130003, 55131, 86, 84823, 7398, 5411, 5928, 10236, 5705, 7979, 7443, 10969, 10436, 8458, 10576, 10572, 9585, 5501, 4751, 9314, 23028, 10432, 6195, 3608, 29102, 4735, 8487, 84154, 55355, 10465, 5111, 729608, 100132658, 8819, 84844, 10038, 55143, 4670, 30827, 8089, 80196, 246184, 7465, 6996, 5901, 10987, 5725, 4999, 7756, 467, 5001, 3978, 2547, 10250, 10785, 142, 30834, 2146, 5437, 22976, 2091, 3148, 3146, 10799, 22974, 23468, 100130561, 10921, 6418, 53371, 9656, 5441, 81620, 51010, 4686, 6294, 23451, 22985, 10001, 10914, 26354, 4691, 4839, 5931, 65083, 7514, 10528, 51203, 5557, 84128, 9360, 729342, 23421, 23198, 51808, 10946, 5422, 51406, 2177, 10112, 664709, 10940, 55003, 4173, 5427, 10412, 4172, 4175, 4174, 890, 4176, 1111, 26271, 4171, 51602, 994, 10285, 993, 51319, 991, 891, 84916, 7919, 11051, 29899, 7705, 100130932, 7027, 25926, 79042, 26121, 24137, 4000, 641, 9790, 11198, 51322, 51729, 10199, 5984, 55813, 51728, 5985, 5887, 6117, 6119, 6118, 3190, 54853, 3054, 29889, 5983, 55299, 51053, 7314, 1660, 7307, 3187, 1655, 3185, 9014, 3181, 6741, 9782, 7004, 6637, 8697, 11073, 6636, 56943, 664, 54433, 729686, 9126, 9129, 9128, 2521, 123169, 6628, 11065, 9933, 1017, 7155, 7153, 1736, 1019, 1874, 79075, 25957, 51747, 1870, 5393, 6631, 1163, 6427, 9519, 6426	773	1450	12782	2.8053459428112597	9.27655572021622E-54	2.319138930054055E-54	2.694898448547772E-53
SP_PIR_KEYWORDS	cell cycle	127	11.482820976491864	1.2497003439597479E-54	8883, 29127, 332, 10403, 8318, 54908, 64682, 6867, 51776, 29128, 220042, 9656, 81620, 4292, 55752, 9918, 79980, 9735, 11339, 11004, 56647, 55055, 23310, 8208, 9055, 55215, 11130, 81610, 79023, 51203, 113130, 348235, 55165, 144455, 10274, 5347, 83461, 2177, 54069, 85444, 4172, 4175, 890, 699, 4176, 10592, 1111, 3833, 3832, 1063, 100133012, 26271, 1062, 4171, 9232, 57405, 2079, 994, 899, 83540, 993, 9184, 991, 151246, 891, 10600, 220134, 147841, 64151, 7027, 51530, 983, 9493, 10197, 701, 10657, 3054, 259266, 3619, 5928, 5603, 6839, 25936, 51053, 9212, 54962, 9585, 5501, 4751, 5597, 9787, 55320, 4085, 10051, 8099, 8697, 11104, 4735, 84552, 79866, 6790, 3070, 1033, 9126, 157313, 4678, 55355, 93323, 55143, 221150, 10036, 11065, 1017, 7465, 1019, 246184, 1874, 79075, 5901, 54443, 1870, 5997, 9133, 8914, 3978, 1163, 1164	1044	461	19235	5.075682964735998	6.373471754194714E-52	2.1244905847315713E-52	1.8046306230375472E-51
